city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,homeowner_tax,rent_amount,property_tax,fire_insurance,total
Rio de Janeiro,131,3,2,2,3,acept,not furnished,2800,10000,500,129,13430
Sao Paulo,72,2,2,1,18,acept,not furnished,350,2500,125,32,3007
Belo Horizonte,88,3,2,1,2,acept,not furnished,289,1450,114,20,1873
Rio de Janeiro,38,1,1,0,2,acept,furnished,700,1850,150,24,2724
Sao Paulo,49,2,1,1,15,acept,not furnished,487,1300,17,17,1821
Sao Paulo,60,1,1,1,8,acept,not furnished,900,4600,100,59,5659
Sao Paulo,80,2,1,1,2,acept,not furnished,1257,2950,195,38,4440
Sao Paulo,148,1,2,4,25,acept,not furnished,1845,9900,550,126,12420
Porto Alegre,76,3,2,1,9,acept,not furnished,550,1600,59,24,2233
Belo Horizonte,110,3,2,1,2,not acept,not furnished,400,1400,150,19,1969
Belo Horizonte,22,1,1,1,1,not acept,not furnished,0,1275,0,17,1292
Sao Paulo,59,2,1,1,1,not acept,not furnished,490,1700,0,22,2212
Sao Paulo,158,4,4,4,10,acept,furnished,2250,2500,423,32,5205
Belo Horizonte,65,2,2,1,1,not acept,not furnished,290,925,84,13,1312
Rio de Janeiro,38,1,1,0,4,not acept,furnished,877,2280,123,30,3310
Sao Paulo,213,4,4,3,17,acept,not furnished,2600,6500,1157,83,10340
Rio de Janeiro,60,1,1,0,1,acept,not furnished,350,1000,0,13,1363
Sao Paulo,65,2,1,1,1,acept,not furnished,100,1400,84,18,1602
Sao Paulo,169,4,4,4,9,acept,not furnished,1800,6450,1140,82,9472
Sao Paulo,100,2,3,1,2,acept,not furnished,1260,3973,315,51,5599
Sao Paulo,158,4,4,3,5,acept,not furnished,2100,6600,375,84,9159
Porto Alegre,49,2,1,0,4,acept,not furnished,250,1650,15,25,1940
Sao Paulo,260,4,4,4,7,acept,not furnished,3400,5000,1417,64,9881
Rio de Janeiro,65,1,1,1,3,acept,not furnished,780,2500,241,33,3554
Belo Horizonte,70,3,1,0,1,acept,not furnished,205,1200,25,16,1446
Rio de Janeiro,105,2,1,0,2,acept,not furnished,400,1250,55,17,1722
Sao Paulo,190,3,3,1,1,acept,not furnished,2000,9000,492,115,11610
Belo Horizonte,67,2,2,2,1,acept,not furnished,202,1000,82,14,1298
Sao Paulo,96,2,2,2,25,not acept,furnished,1200,9000,0,115,10320
Porto Alegre,75,2,2,1,6,acept,not furnished,200,1300,250,19,1769
Campinas,45,1,1,1,2,acept,not furnished,367,1100,34,14,1515
Sao Paulo,60,2,1,1,4,acept,furnished,489,1900,0,25,2414
Sao Paulo,45,1,1,1,2,not acept,furnished,781,2970,92,38,3881
Sao Paulo,38,1,1,1,5,not acept,furnished,1450,3400,0,44,4894
Sao Paulo,220,3,3,2,8,not acept,furnished,1700,11000,542,140,13380
Belo Horizonte,76,3,2,1,3,acept,not furnished,375,1400,128,19,1922
Campinas,60,2,1,1,4,acept,not furnished,395,580,15,8,998
Campinas,62,2,1,1,6,acept,not furnished,447,1200,76,16,1739
Rio de Janeiro,79,3,2,0,9,not acept,furnished,781,3500,183,46,4510
Rio de Janeiro,45,1,1,0,4,acept,not furnished,480,980,0,13,1473
Rio de Janeiro,36,1,1,0,6,acept,not furnished,700,590,244,8,1542
Campinas,47,1,1,0,10,not acept,furnished,580,750,0,10,1340
Belo Horizonte,25,1,1,0,3,not acept,furnished,700,890,59,12,1661
Sao Paulo,45,2,1,1,14,acept,not furnished,280,1125,26,15,1446
Sao Paulo,255,4,4,3,2,acept,not furnished,5000,6600,1678,84,13360
Campinas,55,1,2,1,4,not acept,not furnished,744,954,74,13,1785
Sao Paulo,85,3,3,2,3,not acept,not furnished,1600,4940,300,63,6903
Belo Horizonte,200,3,3,2,4,acept,not furnished,370,2700,135,36,3241
Porto Alegre,55,2,2,0,4,acept,not furnished,290,1400,34,21,1745
Sao Paulo,180,5,5,2,15,acept,not furnished,1285,2287,517,29,4118
Campinas,64,2,2,2,51,acept,not furnished,800,1900,129,25,2854
Porto Alegre,42,2,1,1,2,acept,not furnished,900,923,100,14,1937
Sao Paulo,32,1,1,1,22,acept,furnished,1800,2000,416,26,4242
Sao Paulo,64,2,1,2,3,acept,not furnished,480,1850,39,24,2393
Sao Paulo,72,2,2,1,9,acept,not furnished,626,1440,27,19,2112
Rio de Janeiro,30,1,1,0,20,not acept,not furnished,0,1000,0,13,1013
Porto Alegre,55,2,1,0,1,acept,not furnished,150,1250,85,19,1504
Sao Paulo,253,3,5,5,9,acept,not furnished,2760,6750,1770,86,11370
Sao Paulo,147,3,2,0,9,not acept,furnished,1500,4250,0,54,5804
Sao Paulo,110,3,3,1,7,acept,not furnished,1306,4575,140,58,6079
Sao Paulo,246,3,4,4,9,acept,furnished,3350,10000,1480,127,14960
Campinas,92,3,4,2,1,acept,not furnished,804,2200,144,28,3176
Sao Paulo,54,2,2,1,6,not acept,not furnished,500,2300,167,30,2997
Sao Paulo,130,3,2,0,12,acept,not furnished,1655,3700,350,47,5752
Rio de Janeiro,53,2,2,1,7,acept,not furnished,950,1100,60,15,2125
Sao Paulo,59,2,1,1,10,acept,not furnished,589,1500,0,20,2109
Sao Paulo,78,2,1,1,1,acept,not furnished,430,950,32,13,1425
Sao Paulo,305,3,3,3,8,acept,not furnished,3100,5500,2167,70,10840
Campinas,54,1,1,1,9,acept,not furnished,758,1148,84,15,2005
Sao Paulo,80,2,2,0,2,acept,not furnished,580,1275,113,17,1985
Sao Paulo,26,1,1,0,6,acept,not furnished,308,1490,0,19,1817
Sao Paulo,96,2,1,1,8,not acept,not furnished,795,2500,159,32,3486
Campinas,70,3,1,1,1,acept,not furnished,650,1300,17,17,1984
Sao Paulo,56,2,1,1,11,acept,furnished,530,2500,0,32,3062
Rio de Janeiro,45,1,1,0,11,not acept,not furnished,340,1000,0,13,1353
Campinas,60,2,1,0,1,acept,not furnished,457,1134,55,15,1661
Sao Paulo,101,2,3,1,12,acept,not furnished,900,3500,267,45,4712
Sao Paulo,220,4,4,2,10,acept,not furnished,2500,3200,552,41,6293
Sao Paulo,62,2,1,1,3,acept,not furnished,350,1800,55,23,2228
Rio de Janeiro,65,2,1,1,3,acept,not furnished,800,1100,0,15,1915
Sao Paulo,17,1,1,0,1,not acept,furnished,300,2100,50,27,2477
Sao Paulo,90,3,2,2,7,acept,not furnished,1300,3500,250,45,5095
Rio de Janeiro,70,2,2,0,7,not acept,furnished,750,6100,150,79,7079
Sao Paulo,370,4,5,5,17,acept,furnished,4800,5000,1992,64,11860
Porto Alegre,48,2,1,1,3,acept,not furnished,400,1000,7,15,1422
Belo Horizonte,130,3,2,1,2,acept,not furnished,747,2500,122,34,3403
Sao Paulo,303,3,4,4,1,acept,furnished,4540,18000,0,229,22770
Sao Paulo,150,3,4,3,6,acept,not furnished,3500,10740,67,137,14440
Sao Paulo,45,1,1,1,1,not acept,furnished,3000,5520,0,70,8590
Belo Horizonte,190,4,4,3,1,not acept,not furnished,1740,6200,501,83,8524
Campinas,78,3,2,2,3,acept,not furnished,605,1690,68,22,2385
Rio de Janeiro,100,3,2,1,6,acept,not furnished,1005,1850,85,24,2964
Sao Paulo,78,2,2,2,13,acept,not furnished,613,4338,0,55,5006
Campinas,47,1,1,1,12,acept,not furnished,1500,650,0,9,2159
Sao Paulo,80,2,1,2,2,acept,furnished,900,2424,245,31,3600
Sao Paulo,20,1,1,0,6,acept,furnished,602,1800,130,23,2555
Sao Paulo,60,2,1,1,5,acept,not furnished,675,1550,0,20,2245
Rio de Janeiro,52,1,1,0,12,not acept,furnished,750,2500,117,33,3400
Belo Horizonte,75,3,1,1,4,acept,not furnished,263,1100,61,15,1439
Sao Paulo,45,2,1,1,4,acept,furnished,430,2364,77,30,2901
Sao Paulo,239,4,4,4,15,acept,not furnished,2027,5500,974,70,8571
Sao Paulo,22,1,1,1,19,not acept,not furnished,500,2200,0,28,2728
Rio de Janeiro,148,3,2,2,1,acept,not furnished,1422,4000,279,52,5753
Rio de Janeiro,80,2,1,0,10,not acept,not furnished,700,1000,98,13,1811
Sao Paulo,76,3,1,2,2,acept,furnished,900,2280,270,29,3479
Sao Paulo,45,1,1,1,3,acept,not furnished,520,3200,105,41,3866
Campinas,74,3,2,1,7,acept,not furnished,650,1600,250,21,2521
Porto Alegre,38,1,1,1,3,acept,not furnished,360,500,6,8,874
Sao Paulo,57,1,1,0,10,acept,furnished,300,6000,17,77,6394
Sao Paulo,147,3,3,2,7,acept,not furnished,1520,2200,513,28,4261
Sao Paulo,300,4,5,2,6,acept,furnished,3600,7800,609,99,12110
Sao Paulo,50,2,1,1,3,acept,not furnished,480,1200,72,16,1768
Porto Alegre,55,1,1,1,10,not acept,furnished,620,3500,104,52,4276
Rio de Janeiro,25,1,1,0,1,acept,furnished,500,1400,26,19,1945
Sao Paulo,80,3,2,2,6,acept,not furnished,1219,3650,90,47,5006
Belo Horizonte,300,2,4,3,7,acept,furnished,3500,2800,667,38,7005
Sao Paulo,252,4,5,5,18,acept,furnished,3100,12500,1750,159,17510
Sao Paulo,208,3,3,2,2,acept,furnished,2354,7000,552,89,9995
Rio de Janeiro,36,1,1,0,7,acept,not furnished,520,750,51,10,1331
Belo Horizonte,50,2,1,1,3,acept,not furnished,230,1100,28,15,1373
Belo Horizonte,184,5,3,2,3,acept,not furnished,330,2600,171,35,3136
Porto Alegre,73,2,1,0,1,acept,furnished,260,1350,25,20,1655
Rio de Janeiro,140,3,2,1,5,acept,furnished,1585,1290,330,17,3222
Rio de Janeiro,240,3,2,1,5,acept,furnished,1900,8000,459,104,10460
Sao Paulo,60,2,1,1,2,acept,not furnished,0,2700,0,35,2735
Sao Paulo,170,3,3,2,9,acept,not furnished,1500,4500,503,58,6561
Porto Alegre,59,2,1,1,4,acept,furnished,260,1930,50,29,2269
Rio de Janeiro,169,3,2,1,7,acept,not furnished,1300,2700,308,35,4343
Campinas,58,1,2,2,2,acept,not furnished,630,1235,80,16,1961
Campinas,110,2,1,1,2,acept,not furnished,130,980,52,13,1175
Porto Alegre,27,1,1,0,2,acept,not furnished,100,960,75,15,1150
Sao Paulo,200,3,2,3,3,acept,not furnished,1600,4000,0,51,5651
Rio de Janeiro,180,3,2,2,10,not acept,not furnished,2000,7000,100,91,9191
Sao Paulo,33,1,1,1,5,not acept,furnished,1750,1000,100,13,2863
Porto Alegre,47,1,1,1,1,not acept,furnished,400,2200,0,33,2633
Rio de Janeiro,71,3,2,0,1,not acept,not furnished,300,1450,8,19,1777
Sao Paulo,90,2,1,0,9,not acept,not furnished,1200,3850,130,49,5229
Campinas,55,1,1,1,2,acept,not furnished,570,1100,0,14,1684
Campinas,92,3,2,2,13,acept,furnished,720,3200,139,41,4100
Sao Paulo,60,2,2,1,7,acept,not furnished,600,2200,49,28,2877
Belo Horizonte,120,3,3,1,3,acept,furnished,330,2300,173,31,2834
Sao Paulo,30,1,1,1,18,not acept,not furnished,2000,1950,229,25,4204
Sao Paulo,55,1,1,1,2,acept,furnished,1950,5000,375,64,7389
Porto Alegre,38,1,1,0,5,acept,not furnished,350,770,38,12,1170
Sao Paulo,182,3,2,1,6,acept,not furnished,1990,9000,283,115,11390
Rio de Janeiro,77,2,2,1,21,acept,not furnished,932,1950,137,26,3045
Sao Paulo,346,4,4,4,6,acept,not furnished,2200,4080,2704,52,9036
Rio de Janeiro,80,2,1,0,8,acept,not furnished,900,1300,220,17,2437
Campinas,88,3,2,2,1,acept,furnished,900,1950,104,25,2979
Rio de Janeiro,75,2,2,1,8,acept,not furnished,900,2500,273,33,3706
Rio de Janeiro,120,3,2,0,3,acept,not furnished,1333,3500,259,46,5138
Rio de Janeiro,28,1,1,0,12,acept,not furnished,600,1230,50,16,1896
Sao Paulo,29,1,1,0,5,acept,furnished,400,2000,5,26,2431
Belo Horizonte,67,3,1,1,3,acept,not furnished,235,900,70,12,1217
Sao Paulo,110,3,2,1,1,not acept,furnished,1172,6500,193,83,7948
Sao Paulo,170,3,2,1,12,acept,furnished,1700,5500,415,70,7685
Sao Paulo,72,2,1,1,4,acept,not furnished,860,1440,0,19,2319
Belo Horizonte,76,1,2,2,6,acept,not furnished,892,4000,354,54,5300
Rio de Janeiro,126,2,2,1,2,acept,not furnished,1949,3500,312,46,5807
Sao Paulo,150,1,2,2,24,acept,not furnished,1100,5500,300,70,6970
Rio de Janeiro,40,1,1,0,9,acept,not furnished,300,1505,25,20,1850
Sao Paulo,84,3,2,3,8,not acept,not furnished,1450,3200,413,41,5104
Sao Paulo,209,3,3,0,4,acept,not furnished,2200,4000,803,51,7054
Belo Horizonte,100,3,2,1,2,acept,not furnished,745,1400,119,19,2283
Sao Paulo,50,2,1,1,3,acept,not furnished,360,1300,0,17,1677
Rio de Janeiro,23,1,1,0,4,not acept,not furnished,550,1500,0,20,2070
Sao Paulo,68,1,2,1,11,acept,not furnished,1200,4500,100,58,5858
Sao Paulo,57,2,2,1,8,acept,not furnished,465,1150,10,15,1640
Belo Horizonte,110,2,2,1,6,acept,not furnished,700,4000,84,54,4838
Sao Paulo,69,2,1,1,3,acept,not furnished,470,1550,70,20,2110
Campinas,48,1,1,1,1,not acept,not furnished,450,550,42,7,1049
Sao Paulo,240,3,5,3,14,acept,furnished,3500,10800,1250,137,15690
Belo Horizonte,84,3,2,0,3,acept,not furnished,250,1250,130,17,1647
Sao Paulo,88,2,2,3,20,acept,furnished,3114,3400,463,44,7021
Sao Paulo,270,3,2,2,15,acept,not furnished,2168,10000,407,127,12700
Rio de Janeiro,66,2,1,1,5,acept,not furnished,800,1560,88,21,2469
Rio de Janeiro,81,3,1,1,7,acept,not furnished,725,1500,49,20,2294
Sao Paulo,184,4,3,3,2,acept,furnished,1200,4500,750,58,6508
Sao Paulo,500,3,5,2,11,acept,not furnished,5000,15000,1000,191,21190
Sao Paulo,200,3,4,3,18,acept,furnished,2350,6200,1084,79,9713
Sao Paulo,70,2,2,1,7,acept,not furnished,569,1900,25,25,2519
Belo Horizonte,155,4,5,3,15,acept,not furnished,1700,6200,542,83,8525
Sao Paulo,198,1,1,3,2,not acept,furnished,1100,10700,350,136,12290
Sao Paulo,45,2,1,0,5,not acept,furnished,400,2800,0,36,3236
Sao Paulo,40,1,1,1,8,not acept,furnished,1800,4800,350,61,7011
Porto Alegre,30,1,1,0,2,acept,furnished,200,1100,42,17,1359
Sao Paulo,44,1,1,1,5,acept,furnished,760,2572,91,33,3456
Sao Paulo,98,3,2,2,12,not acept,not furnished,958,4300,180,55,5493
Belo Horizonte,73,3,1,0,1,acept,not furnished,200,900,38,12,1150
Sao Paulo,340,4,4,4,15,acept,furnished,2500,8700,0,111,11310
Porto Alegre,101,3,2,0,3,acept,furnished,450,1920,87,29,2486
Rio de Janeiro,30,1,1,0,11,acept,not furnished,500,1720,0,23,2243
Rio de Janeiro,30,1,1,1,3,acept,not furnished,0,500,0,7,507
Sao Paulo,171,3,5,3,16,acept,not furnished,1320,10600,870,135,12930
Sao Paulo,100,3,2,1,1,acept,not furnished,879,1600,90,21,2590
Sao Paulo,70,2,1,1,9,acept,not furnished,767,2707,0,11,3485
Sao Paulo,49,1,1,0,1,acept,furnished,768,2600,66,33,3467
Belo Horizonte,62,2,2,0,1,acept,not furnished,0,1300,0,18,1318
Sao Paulo,162,4,5,3,16,acept,not furnished,1720,3700,525,47,5992
Sao Paulo,260,4,4,4,4,acept,not furnished,3247,15000,1589,191,20030
Rio de Janeiro,266,4,4,2,4,acept,not furnished,1704,4850,659,63,7276
Sao Paulo,250,3,5,5,18,acept,furnished,3427,15000,1834,191,20450
Sao Paulo,124,3,3,2,2,not acept,not furnished,2019,2500,430,32,4981
Belo Horizonte,57,3,1,1,4,acept,not furnished,300,900,56,12,1268
Sao Paulo,218,3,4,2,6,not acept,not furnished,1800,7800,334,99,10030
Sao Paulo,210,4,4,4,5,acept,not furnished,3000,13100,1325,166,17590
Porto Alegre,274,3,2,2,1,acept,not furnished,300,2500,253,37,3090
Sao Paulo,52,2,2,1,2,acept,furnished,391,1800,0,23,2214
Sao Paulo,254,4,6,5,14,not acept,furnished,4000,7740,1584,99,13420
Sao Paulo,147,3,3,3,13,acept,not furnished,1157,3600,309,46,5112
Rio de Janeiro,78,2,2,1,2,acept,not furnished,180,1650,0,26,1856
Rio de Janeiro,130,3,2,0,6,acept,not furnished,1350,2700,300,35,4385
Sao Paulo,50,1,1,1,21,acept,furnished,765,2700,105,35,3605
Sao Paulo,110,3,2,3,11,acept,not furnished,1150,2600,334,33,4117
Rio de Janeiro,80,2,1,0,2,acept,not furnished,270,2850,173,37,3330
Sao Paulo,376,5,6,4,13,acept,not furnished,4252,12000,1980,153,18390
Sao Paulo,50,2,1,0,12,acept,not furnished,500,1370,7,18,1895
Sao Paulo,179,3,2,2,5,acept,not furnished,2080,10000,443,127,12650
Campinas,163,3,5,3,20,acept,not furnished,1450,9800,350,125,11730
Rio de Janeiro,110,3,1,1,8,acept,not furnished,1055,1820,124,24,3023
Sao Paulo,35,1,1,0,18,acept,not furnished,250,1850,0,24,2124
Campinas,96,3,3,2,4,not acept,not furnished,590,4147,243,53,5033
Rio de Janeiro,77,2,1,0,5,acept,not furnished,705,1200,59,16,1980
Sao Paulo,35,1,1,1,2,acept,not furnished,762,2650,127,34,3573
Sao Paulo,280,3,4,4,14,not acept,furnished,3700,12000,1150,153,17000
Sao Paulo,24606,5,4,4,12,acept,not furnished,2254,8100,7859,103,18320
Belo Horizonte,140,4,2,2,3,acept,not furnished,877,1950,271,26,3124
Belo Horizonte,95,3,4,1,9,acept,not furnished,957,3000,254,40,4251
Campinas,55,2,1,1,1,acept,not furnished,270,900,34,12,1216
Campinas,54,1,2,0,1,acept,not furnished,245,720,46,10,1021
Belo Horizonte,50,2,1,2,6,acept,not furnished,220,850,109,12,1191
Sao Paulo,200,4,5,4,16,acept,not furnished,2607,10000,1150,127,13880
Sao Paulo,50,1,1,1,2,acept,not furnished,650,2350,24,30,3054
Sao Paulo,67,2,2,1,1,acept,not furnished,1250,2840,255,36,4381
Sao Paulo,62,3,2,1,8,not acept,not furnished,300,2050,0,26,2376
Rio de Janeiro,50,1,1,0,2,acept,furnished,532,1700,77,22,2331
Porto Alegre,77,2,2,2,3,acept,not furnished,450,2500,0,37,2987
Sao Paulo,220,3,3,2,13,acept,not furnished,250,4680,184,60,5174
Sao Paulo,253,4,5,3,1,acept,not furnished,2100,4100,0,52,6252
Sao Paulo,35,1,1,0,6,acept,not furnished,380,900,0,12,1292
Sao Paulo,23,1,1,1,26,acept,not furnished,472,2300,59,30,2861
Sao Paulo,325,4,3,2,3,acept,not furnished,4500,8500,1111,108,14220
Porto Alegre,28,1,1,0,4,acept,not furnished,150,800,15,12,977
Rio de Janeiro,76,2,2,1,9,acept,furnished,1400,3360,203,44,5007
Sao Paulo,70,2,1,1,7,acept,not furnished,500,1300,48,17,1865
Sao Paulo,120,3,4,2,5,acept,furnished,2200,2040,667,26,4933
Porto Alegre,60,1,1,0,2,acept,not furnished,200,750,42,11,1003
Porto Alegre,87,2,2,2,19,acept,not furnished,630,2900,67,43,3640
Sao Paulo,260,4,4,3,13,acept,not furnished,4070,15000,1500,191,20760
Rio de Janeiro,100,3,1,2,1,acept,not furnished,1890,4500,213,58,6661
Sao Paulo,50,2,2,0,1,not acept,not furnished,200,950,0,13,1163
Sao Paulo,75,1,2,2,19,acept,not furnished,1092,2500,321,32,3945
Sao Paulo,213,3,2,0,9,acept,not furnished,1490,4100,230,52,5872
Porto Alegre,55,2,1,0,2,acept,not furnished,287,1000,42,15,1344
Sao Paulo,264,3,3,2,16,acept,furnished,2480,5300,665,68,8513
Belo Horizonte,66,2,1,1,1,not acept,not furnished,250,1650,83,22,2005
Campinas,269,4,5,0,12,acept,not furnished,3000,5100,963,65,9128
Rio de Janeiro,50,2,1,1,5,acept,furnished,470,1550,13,20,2053
Sao Paulo,38,1,1,0,3,not acept,not furnished,200,1685,30,22,1937
Rio de Janeiro,50,2,1,0,5,acept,furnished,460,1800,50,24,2334
Sao Paulo,84,1,1,1,1,not acept,not furnished,929,2500,246,32,3707
Campinas,40,1,1,1,1,not acept,furnished,560,1000,33,13,1606
Porto Alegre,27,1,1,0,2,acept,not furnished,100,960,75,15,1150
Sao Paulo,90,2,2,0,1,acept,furnished,320,3200,0,41,3561
Porto Alegre,50,1,1,0,2,not acept,not furnished,250,1500,50,22,1822
Sao Paulo,220,3,4,1,6,acept,not furnished,1680,12000,334,153,14170
Sao Paulo,106,3,3,1,2,acept,not furnished,970,2500,350,32,3852
Sao Paulo,65,2,1,2,7,acept,not furnished,980,1800,167,23,2970
Porto Alegre,70,2,1,1,2,acept,not furnished,390,930,45,14,1379
Campinas,60,2,1,1,3,acept,not furnished,345,820,16,11,1192
Rio de Janeiro,80,2,2,0,3,acept,not furnished,450,1275,0,17,1742
Sao Paulo,85,2,2,2,7,not acept,not furnished,900,7200,417,92,8609
Sao Paulo,87,2,2,1,5,acept,not furnished,2100,2975,117,38,5230
Sao Paulo,78,3,1,2,7,acept,furnished,1350,2330,150,30,3860
Sao Paulo,188,3,3,3,4,acept,furnished,1800,8000,841,102,10740
Rio de Janeiro,38,1,1,1,3,acept,not furnished,423,1450,0,19,1892
Sao Paulo,209,4,4,5,10,acept,furnished,3990,9800,0,125,13920
Sao Paulo,280,4,5,4,14,acept,not furnished,3200,13000,1000,165,17370
Sao Paulo,420,4,4,4,9,acept,not furnished,6000,15000,3334,191,24530
Porto Alegre,46,1,1,0,5,acept,not furnished,280,990,30,15,1315
Porto Alegre,63,2,1,2,6,acept,furnished,700,2750,92,41,3583
Sao Paulo,98,2,2,2,29,acept,not furnished,1450,8500,450,108,10510
Rio de Janeiro,119,3,3,2,7,acept,not furnished,1200,3000,129,39,4368
Porto Alegre,40,1,1,0,2,not acept,not furnished,210,796,26,12,1044
Porto Alegre,110,3,1,1,2,acept,not furnished,450,2700,83,40,3273
Sao Paulo,25,1,1,0,23,acept,not furnished,432,2200,45,28,2705
Sao Paulo,75,2,1,1,5,not acept,not furnished,748,2000,0,26,2774
Sao Paulo,50,2,1,1,7,not acept,not furnished,347,1500,0,20,1867
Rio de Janeiro,152,4,2,1,7,acept,furnished,1944,3500,357,46,5847
Rio de Janeiro,120,3,3,2,6,acept,not furnished,1316,3000,504,39,4859
Sao Paulo,64,1,2,2,15,acept,not furnished,691,2100,92,27,2910
Porto Alegre,180,3,2,1,3,not acept,not furnished,1300,2000,125,30,3455
Belo Horizonte,61,3,1,1,2,acept,not furnished,300,1500,85,20,1905
Campinas,62,2,1,0,2,acept,not furnished,430,800,25,11,1266
Sao Paulo,35,1,1,1,1,not acept,furnished,444,3388,124,43,3999
Belo Horizonte,60,2,1,1,2,acept,not furnished,250,1300,30,18,1598
Porto Alegre,58,1,2,2,2,acept,not furnished,450,2200,0,33,2683
Sao Paulo,146,3,5,2,8,acept,not furnished,1100,6600,424,84,8208
Sao Paulo,176,3,4,3,4,acept,not furnished,1600,6500,775,83,8958
Belo Horizonte,47,2,1,1,4,not acept,not furnished,250,1300,0,18,1568
Sao Paulo,103,3,2,0,14,acept,not furnished,950,2160,39,28,3177
Sao Paulo,34,1,1,0,10,acept,not furnished,200,1530,25,20,1775
Sao Paulo,215,4,4,2,16,not acept,furnished,2600,6000,917,77,9594
Rio de Janeiro,60,2,1,1,3,not acept,not furnished,530,1230,88,16,1864
Rio de Janeiro,145,3,2,1,3,acept,not furnished,3300,9000,700,116,13120
Sao Paulo,44,1,1,1,19,acept,furnished,385,3600,125,46,4156
Sao Paulo,90,2,2,0,3,acept,not furnished,1600,4200,250,54,6104
Sao Paulo,180,4,3,1,4,acept,furnished,1572,5000,240,64,6876
Porto Alegre,123,3,3,1,2,not acept,not furnished,0,3000,0,44,3044
Sao Paulo,54,2,2,1,8,not acept,not furnished,769,2200,216,28,3213
Sao Paulo,50,1,1,1,6,acept,furnished,1000,1884,0,11,2895
Porto Alegre,36,1,1,1,17,acept,not furnished,225,1200,35,18,1478
Sao Paulo,92,1,2,1,6,acept,not furnished,810,3010,16,39,3875
Sao Paulo,68,2,2,1,7,acept,not furnished,500,2000,79,26,2605
Sao Paulo,94,3,3,3,4,acept,furnished,1400,4450,330,57,6237
Sao Paulo,116,3,4,2,1,acept,furnished,1242,3900,413,50,5605
Sao Paulo,48,1,1,1,2,acept,furnished,530,1700,71,22,2323
Sao Paulo,115,3,5,2,10,acept,not furnished,1830,7000,495,89,9414
Sao Paulo,90,1,1,1,12,acept,not furnished,870,3600,73,14,4557
Rio de Janeiro,89,2,2,1,2,acept,not furnished,800,2900,148,38,3886
Porto Alegre,30,1,1,0,3,acept,not furnished,140,1360,24,20,1544
Porto Alegre,39,1,1,0,11,acept,not furnished,340,600,13,9,962
Sao Paulo,42,1,1,1,27,not acept,furnished,560,5250,100,67,5977
Sao Paulo,47,1,2,1,2,acept,furnished,490,2500,125,32,3147
Sao Paulo,108,3,2,1,10,acept,not furnished,1000,3655,240,47,4942
Sao Paulo,128,3,4,4,13,not acept,furnished,1306,8000,595,102,10000
Rio de Janeiro,179,4,2,0,9,acept,not furnished,1600,3040,484,40,5164
Belo Horizonte,140,4,2,2,3,acept,not furnished,777,2000,237,27,3041
Belo Horizonte,27,1,1,0,1,not acept,furnished,0,1167,334,16,1517
Sao Paulo,250,3,4,2,16,acept,not furnished,3300,6000,517,77,9894
Sao Paulo,208,3,2,2,3,acept,not furnished,1800,5000,500,64,7364
Sao Paulo,34,1,1,1,4,acept,not furnished,620,3100,45,40,3805
Sao Paulo,150,4,3,0,2,acept,not furnished,0,2850,275,37,3162
Sao Paulo,127,3,3,2,17,not acept,furnished,1775,7000,421,89,9285
Sao Paulo,61,1,1,0,1,not acept,furnished,437,2700,0,35,3172
Sao Paulo,375,4,4,3,19,acept,furnished,2500,9000,917,115,12530
Porto Alegre,30,1,1,0,2,acept,furnished,280,1270,42,19,1611
Sao Paulo,480,5,7,5,19,acept,not furnished,6200,8500,3700,108,18510
Sao Paulo,33,1,1,1,18,not acept,furnished,1500,3500,0,45,5045
Rio de Janeiro,84,3,1,0,1,not acept,not furnished,900,3100,209,40,4249
Porto Alegre,97,3,3,3,5,acept,not furnished,850,3000,164,44,4058
Rio de Janeiro,110,3,2,1,8,acept,not furnished,1488,2500,190,33,4211
Belo Horizonte,77,3,3,2,2,acept,furnished,1010,2200,306,30,3546
Rio de Janeiro,105,3,2,1,4,acept,not furnished,1590,2500,258,33,4381
Sao Paulo,33,1,1,1,1,not acept,furnished,190,1800,90,23,2103
Sao Paulo,25,1,1,0,5,acept,not furnished,340,2040,0,26,2406
Sao Paulo,240,3,3,3,11,acept,furnished,3000,10000,1200,127,14330
Rio de Janeiro,80,2,2,1,8,acept,not furnished,760,2500,300,33,3593
Sao Paulo,50,2,1,2,1,not acept,not furnished,850,1900,42,25,2817
Belo Horizonte,32,1,1,0,9,not acept,not furnished,300,1000,100,14,1414
Belo Horizonte,48,2,1,1,2,acept,not furnished,170,1400,12,19,1601
Rio de Janeiro,30,1,1,0,14,acept,furnished,706,1100,133,15,1954
Porto Alegre,75,2,2,1,4,acept,not furnished,488,2800,135,41,3464
Porto Alegre,59,2,2,1,2,acept,not furnished,490,1450,48,22,2010
Sao Paulo,25,1,1,0,2,not acept,furnished,0,1750,0,23,1773
Campinas,140,4,3,2,2,acept,not furnished,1070,3000,250,39,4359
Sao Paulo,100,2,1,1,11,acept,not furnished,1173,4000,120,51,5344
Sao Paulo,124,3,2,1,4,not acept,furnished,1070,2750,289,35,4144
Sao Paulo,84,2,3,2,32,not acept,furnished,850,8500,450,108,9908
Sao Paulo,69,2,2,1,21,acept,not furnished,662,4000,146,51,4859
Sao Paulo,70,1,2,1,3,acept,not furnished,1054,4000,106,51,5211
Belo Horizonte,88,3,2,1,3,acept,not furnished,320,1290,0,18,1628
